geometry,amplitude,seed,n,dissonance,d_roughness,d_inharmonic,r_global,r_local,fragmentation,r_between,harmonic_purity,mean_incoherence,bifurcation_concentration,bifurcation_excess,branch_over_chain_mismatch,dissonance_intensive,defect_density,freq_spread_hz
tree,3.5,0,626,0.2221267460100996,0.2221267460100996,0.013717469895086076,0.6125484108924866,0.6429880721318059,0.030439661239319293,0.9511944128995101,0.7156382628358358,0.14389483630657196,1.501833410970337,1.2562787831641304,1.012423838115121,0.5388844625274747,0.09155547202906722,0.018072348415210073
tree,3.5,1,626,0.2256380651721791,0.2256380651721791,0.009797378535704946,0.626202404499054,0.6530883426541068,0.026885938155052802,0.9660691685003024,0.7204233219125709,0.14142858982086182,1.544119163850585,1.300963827106392,0.9044700244919791,0.5303893754520762,0.0902712522708764,0.013625058986744753
tree,3.5,2,626,0.23024134166510632,0.23024134166510632,0.02193155133429277,0.641781210899353,0.6715610014204544,0.029779790521101357,0.9713632515305417,0.7694181169917392,0.13822318613529205,1.3963013636259487,1.1667877686786439,0.7776650953154509,0.5121997769165161,0.08554156486875901,0.024407201836062833
tree,4.0,0,626,0.2649798191272583,0.2649798191272583,0.011567096079897131,0.7124208807945251,0.7407438570363293,0.028322976241804132,0.9664635734332733,0.8008930345310301,0.11292868852615356,1.4475815663103444,1.244465935964226,0.9591614671410639,0.48430174678138876,0.06305205788385641,0.013672126885874282
tree,4.0,1,626,0.19043370336752177,0.19043370336752177,0.0021817720623216103,0.7317346930503845,0.7529950197077719,0.02126032665738742,0.9837578613698885,0.8006931078337731,0.10860273987054825,1.4493660058625477,1.248515656111003,0.8612045546840383,0.33663402317881513,0.060358328634968365,0.0060179119968062095
tree,4.0,2,626,0.22945909937730313,0.22945909937730313,0.005773642396178248,0.7343854904174805,0.7519867968982946,0.01760130648081415,0.984275307804905,0.8486343401100482,0.1070423573255539,1.2547085905618918,1.0663382533173191,0.7375702132962124,0.4066592239482028,0.05907410887677755,0.010566469427680972
tree,5.0,0,626,0.09976245837626137,0.09976245837626137,0.001160900147680526,0.8579807877540588,0.8767977558119955,0.018816968057936645,0.9847649633705559,0.8942018942015005,0.05471186712384224,1.4308215293581168,1.230452667447369,0.9338629450524563,0.12999821405985693,0.01982710016914114,0.00413981507445309
tree,5.0,1,626,0.06682593317151524,0.06682593317151524,0.00012687647381256606,0.8760893940925598,0.8895790767648265,0.01348968267226669,0.9916138406482419,0.8864333325588127,0.04861493408679962,1.2775665018349394,1.0912621234456965,0.7329234334604676,0.08459580378482985,0.019138006640355823,0.0012705212421490586
tree,5.0,2,626,0.09443275710780302,0.09443275710780302,0.0003802356210433272,0.8643782734870911,0.8751602345789207,0.010781961091829606,0.9916200708259125,0.9312610300768016,0.05460632964968681,1.251952054871233,1.0654094012467912,0.7361487583815114,0.12352612490978414,0.02048487126479985,0.0022782728359267528
tree,6.0,0,626,0.04546012444307955,0.04546012444307955,0.00020753875697007235,0.9316588044166565,0.9439203983461092,0.012261593929452697,0.9921701755414601,0.930266664737952,0.02413090504705906,1.2437765597853525,1.0373698179304807,0.819915524523186,0.05111134143375068,0.0031009208795339223,0.00158087396625596
